library_id,molecule_h5,hto.tag,chrom.batch.tag,seq.batch.tag,lane.tag
R24-Cancer-B_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/01-02-2021/count/R24_RunB/R24B_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_4_MYE_10D_CITE/R24B_Hu_4_MYE_10D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2,Hu;MYE;MYE.B.4A;10D;normal.lung
R24-Cancer-D_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-18-2021/count/R24_D/R24D_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-18-2021/R24_D/R24D_Hu_4_MYE_10D_CITE/R24D_Hu_4_MYE_10D_CITE_08-30-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,5,Hu;MYE;MYE.D.4A;10D;normal.lung
R24-Cancer-F_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-22-2021/count/R24_F/R24F_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_4_MYE_10D_CITE/R24F_Hu_4_MYE_10D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6,Hu;MYE;MYE.F.4A;10D;normal.lung
R24-Cancer-H_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/06-10-2021/count/R24_H/R24H_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_4_MYE_10D_CITE/R24H_Hu_4_MYE_10D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7,Hu;MYE;MYE.H.4A;10D;normal.lung
R24-Cancer-J_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/06-12-2021/count/R24_J/R24J_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_4_MYE_10D_CITE/R24J_Hu_4_MYE_10D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9,Hu;MYE;MYE.J.4A;10D;normal.lung
R24-Cancer-L_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_L/R24L_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_4_MYE_10D_CITE/R24L_Hu_4_MYE_10D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,10,Hu;MYE;MYE.L.4A;10D;normal.lung
R24-Cancer-N_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_N/R24N_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-22-2021/R24_N/R24N_Hu_4_MYE_10D_CITE/R24N_Hu_4_MYE_10D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11,Hu;MYE;MYE.N.4A;10D;normal.lung
R24-Cancer-P_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_4_MYE_10D_CITE/R24P_Hu_4_MYE_10D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;MYE;MYE.P.4A;10D;normal.lung
R24-Cancer-R_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_R/R24R_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-08-2021/R24_R/R24R_Hu_4_MYE_10D_CITE/R24R_Hu_4_MYE_10D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,R,13,Hu;MYE;MYE.R.4A;10D;normal.lung
R24-Cancer-T_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_T/R24T_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_4_MYE_10D_CITE/R24T_Hu_4_MYE_10D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15,Hu;MYE;MYE.T.4A;10D;normal.lung
R24-Cancer-V_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_4_MYE_10D_CITE/R24V_Hu_4_MYE_10D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;MYE;MYE.V.4A;10D;normal.lung
R24-Cancer-W_Hu_MYE_4A_10D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-27-2021/count/R24_W/R24W_Hu_4_MYE_10D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_4_MYE_10D_CITE/R24W_Hu_4_MYE_10D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,17,Hu;MYE;MYE.W.4A;10D;normal.lung
